Fatalities,PedFatalit,BikeFatali,MVOFatalit,YR,nodeX,nodeY,STREET1,STREET2
1,1,0,0,2009,996829.9154,206085.3129,MANHATTAN AVENUE,INDIA STREET
1,1,0,0,2009,996831.2245,236475.5041,AMSTERDAM AVENUE,WEST 130 STREET
1,1,0,0,2009,996882.3399,157524.5784,EAST 17 STREET,AVENUE U
1,1,0,0,2009,996957.7531,236702.8656,AMSTERDAM AVENUE,WEST 131 STREET
1,1,0,0,2009,997413.0081,176655.7238,MARTENSE STREET,ROGERS AVENUE
1,1,0,0,2009,997630.2354,174017.7701,ROGERS AVENUE,CORTELYOU ROAD
1,1,0,0,2009,997910.9467,232849.9733,ADAM C POWELL BOULEVARD,WEST 120 STREET
1,1,0,0,2009,997981.4748,183331.3765,NOSTRAND AVENUE,EASTERN PARKWAY
1,1,0,0,2009,998037.5443,233078.8078,ADAM C POWELL BOULEVARD,WEST 121 STREET
1,0,0,1,2009,998225.8018,206259.9222,PROVOST STREET,INDIA STREET
1,1,0,0,2009,998566.8411,172445.2831,NOSTRAND AVENUE,NEWKIRK AVENUE
1,1,0,0,2009,998602.1986,241526.5928,BROADWAY,WEST 150 STREET
1,0,1,0,2009,998615.614,203285.5121,NASSAU AVENUE,MC GUINNESS BOULEVARD
1,1,0,0,2009,998836.8734,211836.7348,21 STREET,44 DRIVE
1,0,0,1,2009,999105.1143,205758.8897,GREENPOINT AVENUE,HUMBOLDT STREET
1,1,0,0,2009,999608.4729,189539.0672,GATES AVENUE,TOMPKINS AVENUE
1,1,0,0,2009,999898.4296,229312.8675,EAST 112 STREET,LEXINGTON AVENUE
1,1,0,0,2009,1000897.053,191645.4993,DEKALB AVENUE,MARCUS GARVEY BOULEVARD
1,1,0,0,2009,1000971.056,154076.8064,AVENUE Z,NOSTRAND AVENUE
1,1,0,0,2009,1001215.753,247299.6291,BROADWAY,WEST 174 STREET
1,0,1,0,2009,1001274.267,195792.9028,MOORE STREET,BUSHWICK AVENUE
1,1,0,0,2009,1001760.922,216128.8588,21 STREET,36 AVENUE
1,1,0,0,2009,1001846.379,248794.616,BROADWAY,WEST 180 STREET
2,2,0,0,2009,1002024.072,249023.1884,BROADWAY,WEST 181 STREET
1,0,1,0,2009,1002148.749,216665.6231,21 STREET,35 AVENUE
1,1,0,0,2009,1002290.725,158510.9347,GERRITSEN AVENUE,AVENUE U
1,0,0,1,2009,1002589.641,246866.0637,AMSTERDAM AVENUE,WEST 175 STREET
1,1,0,0,2009,1002828.102,248247.7175,AUDUBON AVENUE,WEST 180 STREET
1,0,1,0,2009,1003132.445,196627.737,HARRISON PLACE,MORGAN AVENUE
1,0,0,1,2009,1003201.733,207729.5387,GREENPOINT AVENUE,BORDEN AVENUE
1,1,0,0,2009,1003358.212,182945.2549,UTICA AVENUE,EASTERN PARKWAY
1,1,0,0,2009,1003371.251,179118.862,UTICA AVENUE,WINTHROP STREET
1,1,0,0,2009,1003925.232,172378.9479,UTICA AVENUE,FOSTER AVENUE
1,1,0,0,2009,1004230.104,253672.8543,SHERMAN AVENUE,ARDEN STREET
1,0,0,1,2009,1004246.807,219776.3548,21 STREET,30 AVENUE
1,0,0,1,2009,1004672.865,199430.8187,METROPOLITAN AVENUE,GARDNER AVENUE
1,0,0,1,2009,1004684.417,193854.1307,HART STREET,CENTRAL AVENUE
1,1,0,0,2009,1004858.141,235097.7375,EAST 140 STREET,3 AVENUE
1,0,0,1,2009,1005164.826,254562.6491,VERMILYEA AVENUE,ACADEMY STREET
1,1,0,0,2009,1005334.819,174888.3291,EAST 56 STREET,BEVERLY ROAD
1,1,0,0,2009,1005404.294,181336.2033,ROCKAWAY PARKWAY,RUTLAND ROAD
1,1,0,0,2009,1005526.699,161252.8747,HENDRICKSON STREET,AVENUE U
1,0,1,0,2009,1006068.138,178410.051,EAST 92 STREET,KINGS HIGHWAY
1,1,0,0,2009,1006153.259,164917.2864,AVENUE N,EAST 56 STREET
2,2,0,0,2009,1006261.294,242011.9363,EAST 165 STREET,GRAND CONCOURSE
1,1,0,0,2009,1006949.111,180007.3641,EAST 98 STREET,HOWARD AVENUE
1,1,0,0,2009,1007034.275,236608.2365,MELROSE AVENUE,EAST 149 STREET
3,0,0,3,2009,1007122.798,207244.6315,LAUREL HILL BOULEVARD,49 STREET
1,1,0,0,2009,1007424.572,178959.6103,ROCKAWAY PARKWAY,WILLMOHR STREET
1,1,0,0,2009,1007620.369,199229.6807,METROPOLITAN AVENUE,FLUSHING AVENUE
1,1,0,0,2009,1008180.992,224038.4198,21 AVENUE,23 STREET
1,0,0,1,2009,1008188.862,185753.8188,THOMAS S BOYLAND STREET,ATLANTIC AVENUE
1,1,0,0,2009,1008916.111,174225.5223,REMSEN AVENUE,FOSTER AVENUE
1,1,0,0,2009,1008918.487,194147.4011,PALMETTO STREET,WYCKOFF AVENUE
1,1,0,0,2009,1009065.445,257811.261,BROADWAY,BROADWAY BRIDGE
1,1,0,0,2009,1009481.15,221592.8538,DITMARS BOULEVARD,35 STREET
1,1,0,0,2009,1009556.337,239628.634,BOSTON ROAD,3 AVENUE
1,0,0,1,2009,1009596.402,233111.6296,BRUCKNER BOULEVARD,SOUTHERN BOULEVARD
1,0,0,1,2009,1010053.051,257493.4765,WEST KINGSBRIDGE ROAD,EXTERIOR STREET
1,1,0,0,2009,1010142.602,194453.1285,PUTNAM AVENUE,CYPRESS AVENUE
1,0,0,1,2009,1010372.418,251078.0104,EAST 181 STREET,WEST 181 STREET
1,1,0,0,2009,1010395.784,260251.8303,WEST 232 STREET,KINGSBRIDGE AVENUE
1,1,0,0,2009,1011833.648,253994.4547,WEST 190 STREET,EAST 190 STREET
1,1,0,0,2009,1012453.467,247888.9846,EAST TREMONT AVENUE,WASHINGTON AVENUE
1,1,0,0,2009,1012757.396,267568.2753,HENRY HUDSON PKWY ET 23 S SB,BROADWAY
1,0,0,1,2009,1012769.158,216895.0318,25 AVENUE,BOODY STREET
1,1,0,0,2009,1012806.911,265660.8057,BROADWAY,WEST 251 STREET
1,0,1,0,2009,1013111.028,208994.838,QUEENS BOULEVARD,69 STREET
1,0,0,1,2009,1013195.256,236528.6175,BRUCKNER BOULEVARD,LONGWOOD AVENUE
1,1,0,0,2009,1013279.974,208956.0684,QUEENS BOULEVARD,45 AVENUE
1,1,0,0,2009,1014401.471,169811.6466,EAST 95 STREET,SEAVIEW AVENUE
1,1,0,0,2009,1014554.181,234951.708,TIFFANY STREET,RANDALL AVENUE
1,0,0,1,2009,1014773.363,240157.5109,WESTCHESTER AVENUE,FAILE STREET
1,0,0,1,2009,1015425.34,184531.1441,PITKIN AVENUE,BARBEY STREET
1,0,0,1,2009,1015448.801,245600.5869,EAST 176 STREET,WATERLOO PLACE
1,0,0,1,2009,1015529.707,243545.3683,EAST 173 STREET,VYSE AVENUE
2,0,0,2,2009,1017446.15,215557.2917,32 AVENUE,88 STREET
2,2,0,0,2009,1018156.873,202745.4545,62 AVENUE,80 STREET
1,1,0,0,2009,1019194.453,241603.7941,HARROD PLACE,HARROD AVENUE
1,1,0,0,2009,1019382.806,204499.8407,ELIOT AVENUE,85 STREET
1,1,0,0,2009,1019462.73,186386.3307,SOUTH CONDUIT AVENUE,EUCLID AVENUE
1,0,0,1,2009,1019875.781,205015.968,ELIOT AVENUE,WOODHAVEN BOULEVARD
1,1,0,0,2009,1020479.329,203235.1185,63 AVENUE,WOODHAVEN BOULEVARD
1,1,0,0,2009,1022006.482,215365.9699,NORTHERN BOULEVARD,105 STREET
1,1,0,0,2009,1022284.867,212503.5741,NATIONAL STREET,103 STREET
1,1,0,0,2009,1022580.149,265257.9653,EAST 233 STREET,BRONX BOULEVARD
1,0,0,1,2009,1022787.087,184870.5598,SOUTH CONDUIT AVENUE,RUBY STREET
1,0,0,1,2009,1022825.407,191537.1767,FOREST PARKWAY,JAMAICA AVENUE
1,0,0,1,2009,1023569.362,184914.001,78 STREET,NORTH CONDUIT AVENUE
2,0,0,2,2009,1024104.512,253044.5189,WARING AVENUE,LACONIA AVENUE
1,1,0,0,2009,1024259.407,210588.8899,50 AVENUE,108 STREET
1,1,0,0,2009,1025093.766,204019.7331,QUEENS BOULEVARD,67 ROAD
1,1,0,0,2009,1025416.852,185492.3302,SUTTER AVENUE,85 STREET
1,1,0,0,2009,1025612.491,241622.6261,WATSON AVENUE,CASTLE HILL AVENUE
1,1,0,0,2009,1026473.937,192438.5167,JAMAICA AVENUE,98 STREET
1,0,0,1,2009,1026801.488,266935.8487,NEREID AVENUE,BAYCHESTER AVENUE
1,1,0,0,2009,1027072.774,266004.2167,BAYCHESTER AVENUE,PITMAN AVENUE
1,1,0,0,2009,1027231.881,256224.7947,KNAPP STREET,FENTON AVENUE
1,1,0,0,2009,1027341.084,187164.5804,LIBERTY AVENUE,CROSS BAY BOULEVARD
1,1,0,0,2009,1027678.091,252456.236,EASTCHESTER ROAD,ASTOR AVENUE
1,1,0,0,2009,1028444.864,180691.5521,CROSS BAY BOULEVARD,157 AVENUE
1,1,0,0,2009,1028727.006,176326.1641,91 STREET,164 AVENUE
1,0,1,0,2009,1031091.946,194334.8679,JAMAICA AVENUE,MYRTLE AVENUE
1,1,0,0,2009,1031706.846,192103.921,ATLANTIC AVENUE,118 STREET
1,1,0,0,2009,1032059.42,249626.0054,WILKINSON AVENUE,BRUCKNER BOULEVARD
